Position,Club Name,Points,Goals For,Season
1,Leicester City,81,68,2015/16
2,Arsenal,71,65,2015/16
3,Tottenham Hotspur,70,69,2015/16
4,Manchester City,66,71,2015/16
5,Manchester United,66,49,2015/16
6,Southampton,63,59,2015/16
7,West Ham United,62,65,2015/16
8,Liverpool,60,63,2015/16
9,Stoke City,51,41,2015/16
10,Chelsea,50,59,2015/16
11,Everton,47,59,2015/16
12,Swansea City,47,42,2015/16
13,Watford,45,40,2015/16
14,West Bromwich Albion,43,34,2015/16
15,Crystal Palace,42,39,2015/16
16,Bournemouth,42,45,2015/16
17,Sunderland,39,48,2015/16
18,Newcastle United,37,44,2015/16
19,Norwich City,34,39,2015/16
20,Aston Villa,17,27,2015/16
