Position,Club Name,Points,Goals For,Season
1,Arsenal,90,73,2003/04
2,Chelsea,79,67,2003/04
3,Manchester United,75,64,2003/04
4,Liverpool,60,55,2003/04
5,Newcastle United,56,52,2003/04
6,Aston Villa,56,48,2003/04
7,Charlton Athletic,53,51,2003/04
8,Bolton Wanderers,53,48,2003/04
9,Fulham,52,52,2003/04
10,Birmingham City,50,43,2003/04
11,Middlesbrough,48,44,2003/04
12,Southampton,47,44,2003/04
13,Portsmouth,45,47,2003/04
14,Tottenham Hotspur,45,47,2003/04
15,Blackburn Rovers,44,51,2003/04
16,Manchester City,41,55,2003/04
17,Everton,39,45,2003/04
18,Leicester City,33,48,2003/04
19,Leeds United,33,40,2003/04
20,Wolverhampton Wanderers,33,38,2003/04
