Position,Club Name,Points,Goals For,Season
1,Manchester United,89,83,2006/07
2,Chelsea,83,64,2006/07
3,Liverpool,68,57,2006/07
4,Arsenal,68,63,2006/07
5,Tottenham Hotspur,60,57,2006/07
6,Everton,58,52,2006/07
7,Bolton Wanderers,56,47,2006/07
8,Reading,55,52,2006/07
9,Portsmouth,54,45,2006/07
10,Blackburn Rovers,52,52,2006/07
11,Aston Villa,50,43,2006/07
12,Middlesbrough,46,44,2006/07
13,Newcastle United,43,38,2006/07
14,Manchester City,42,29,2006/07
15,West Ham United,41,35,2006/07
16,Fulham,39,38,2006/07
17,Wigan Athletic,38,37,2006/07
18,Sheffield United,38,32,2006/07
19,Charlton Athletic,34,34,2006/07
20,Watford,28,29,2006/07
