Position,Club Name,Points,Goals For,Season
1,Manchester United,80,78,2010/11
2,Chelsea,71,69,2010/11
3,Manchester City,71,60,2010/11
4,Arsenal,68,72,2010/11
5,Tottenham Hotspur,62,55,2010/11
6,Liverpool,58,59,2010/11
7,Everton,54,51,2010/11
8,Fulham,49,49,2010/11
9,Aston Villa,48,48,2010/11
10,Sunderland,47,45,2010/11
11,West Bromwich Albion,47,56,2010/11
12,Newcastle United,46,56,2010/11
13,Stoke City,46,46,2010/11
14,Bolton Wanderers,46,52,2010/11
15,Blackburn Rovers,43,46,2010/11
16,Wigan Athletic,42,40,2010/11
17,Wolverhampton Wanderers,40,46,2010/11
18,Birmingham City,39,37,2010/11
19,Blackpool,39,55,2010/11
20,West Ham United,33,43,2010/11
