Position,Club Name,Points,Goals For,Season
1,Manchester City,98,95,2018/19
2,Liverpool,97,89,2018/19
3,Chelsea,72,63,2018/19
4,Tottenham Hotspur,71,67,2018/19
5,Arsenal,70,73,2018/19
6,Manchester United,66,65,2018/19
7,Wolverhampton Wanderers,57,47,2018/19
8,Everton,54,54,2018/19
9,Leicester City,52,51,2018/19
10,West Ham United,52,52,2018/19
11,Watford,50,52,2018/19
12,Crystal Palace,49,51,2018/19
13,Newcastle United,45,42,2018/19
14,Bournemouth,45,56,2018/19
15,Burnley,40,45,2018/19
16,Southampton,39,45,2018/19
17,Brighton and Hove Albion,36,35,2018/19
18,Cardiff City,34,34,2018/19
19,Fulham,26,34,2018/19
20,Huddersfield Town,16,22,2018/19
