Position,Club Name,Points,Goals For,Season
1,Manchester United,87,80,2007/08
2,Chelsea,85,65,2007/08
3,Arsenal,83,74,2007/08
4,Liverpool,76,67,2007/08
5,Everton,65,55,2007/08
6,Aston Villa,60,71,2007/08
7,Blackburn Rovers,58,50,2007/08
8,Portsmouth,57,48,2007/08
9,Manchester City,55,45,2007/08
10,West Ham United,49,42,2007/08
11,Tottenham Hotspur,46,66,2007/08
12,Newcastle United,43,45,2007/08
13,Middlesbrough,42,43,2007/08
14,Wigan Athletic,40,34,2007/08
15,Sunderland,39,36,2007/08
16,Bolton Wanderers,37,36,2007/08
17,Fulham,36,38,2007/08
18,Reading,36,41,2007/08
19,Birmingham City,35,46,2007/08
20,Derby County,11,20,2007/08
