Position,Club Name,Points,Goals For,Season
1,Manchester United,92,80,1993/94
2,Blackburn Rovers,84,63,1993/94
3,Newcastle United,77,82,1993/94
4,Arsenal,71,53,1993/94
5,Leeds United,70,65,1993/94
6,Wimbledon,65,56,1993/94
7,Sheffield Wednesday,64,76,1993/94
8,Liverpool,60,59,1993/94
9,Queens Park Rangers,60,62,1993/94
10,Aston Villa,57,46,1993/94
11,Coventry City,56,43,1993/94
12,Norwich City,53,65,1993/94
13,West Ham United,52,47,1993/94
14,Chelsea,51,49,1993/94
15,Tottenham Hotspur,45,54,1993/94
16,Manchester City,45,38,1993/94
17,Everton,44,42,1993/94
18,Southampton,43,49,1993/94
19,Ipswich Town,43,35,1993/94
20,Sheffield United,42,42,1993/94
21,Oldham Athletic,40,42,1993/94
22,Swindon Town,30,47,1993/94
