Position,Club Name,Points,Goals For,Season
1,Chelsea,86,103,2009/10
2,Manchester United,85,86,2009/10
3,Arsenal,75,83,2009/10
4,Tottenham Hotspur,70,67,2009/10
5,Manchester City,67,73,2009/10
6,Aston Villa,64,52,2009/10
7,Liverpool,63,61,2009/10
8,Everton,61,60,2009/10
9,Birmingham City,50,38,2009/10
10,Blackburn Rovers,50,41,2009/10
11,Stoke City,47,34,2009/10
12,Fulham,46,39,2009/10
13,Sunderland,44,48,2009/10
14,Bolton Wanderers,39,42,2009/10
15,Wolverhampton Wanderers,38,32,2009/10
16,Wigan Athletic,36,37,2009/10
17,West Ham United,35,47,2009/10
18,Burnley,30,42,2009/10
19,Hull City,30,34,2009/10
20,Portsmouth,19,34,2009/10
