Position,Club Name,Points,Goals For,Season
1,Manchester United,75,76,1996/97
2,Newcastle United,68,73,1996/97
3,Arsenal,68,62,1996/97
4,Liverpool,68,62,1996/97
5,Aston Villa,61,47,1996/97
6,Chelsea,59,58,1996/97
7,Sheffield Wednesday,57,50,1996/97
8,Wimbledon,56,49,1996/97
9,Leicester City,47,46,1996/97
10,Tottenham Hotspur,46,44,1996/97
11,Leeds United,46,28,1996/97
12,Derby County,46,45,1996/97
13,Blackburn Rovers,42,42,1996/97
14,West Ham United,42,39,1996/97
15,Everton,42,44,1996/97
16,Southampton,41,50,1996/97
17,Coventry City,41,38,1996/97
18,Sunderland,40,35,1996/97
19,Middlesbrough,39,51,1996/97
20,Nottingham Forest,34,31,1996/97
