Position,Club Name,Points,Goals For,Season
1,Manchester City,89,94,2022/23
2,Arsenal,84,88,2022/23
3,Manchester United,75,58,2022/23
4,Newcastle United,71,68,2022/23
5,Liverpool,67,75,2022/23
6,Brighton and Hove Albion,62,72,2022/23
7,Aston Villa,61,51,2022/23
8,Tottenham Hotspur,60,70,2022/23
9,Brentford,59,58,2022/23
10,Fulham,52,55,2022/23
11,Crystal Palace,45,40,2022/23
12,Chelsea,44,38,2022/23
13,Wolverhampton Wanderers,41,31,2022/23
14,West Ham United,40,42,2022/23
15,Bournemouth,39,37,2022/23
16,Nottingham Forest,38,38,2022/23
17,Everton,36,34,2022/23
18,Leicester City,34,51,2022/23
19,Leeds United,31,48,2022/23
20,Southampton,25,36,2022/23
