Position,Club Name,Points,Goals For,Season
1,Manchester United,84,67,1992/93
2,Aston Villa,74,57,1992/93
3,Norwich City,72,61,1992/93
4,Blackburn Rovers,71,68,1992/93
5,Queens Park Rangers,63,63,1992/93
6,Liverpool,59,62,1992/93
7,Sheffield Wednesday,59,55,1992/93
8,Tottenham Hotspur,59,60,1992/93
9,Manchester City,57,56,1992/93
10,Arsenal,56,40,1992/93
11,Chelsea,56,51,1992/93
12,Wimbledon,54,56,1992/93
13,Everton,53,53,1992/93
14,Sheffield United,52,54,1992/93
15,Coventry City,52,52,1992/93
16,Ipswich Town,52,50,1992/93
17,Leeds United,51,57,1992/93
18,Southampton,50,54,1992/93
19,Oldham Athletic,49,63,1992/93
20,Crystal Palace,49,48,1992/93
21,Middlesbrough,44,54,1992/93
22,Nottingham Forest,40,41,1992/93
