Position,Club Name,Points,Goals For,Season
1,Manchester United,83,74,2002/03
2,Arsenal,78,85,2002/03
3,Newcastle United,69,63,2002/03
4,Chelsea,67,68,2002/03
5,Liverpool,64,61,2002/03
6,Blackburn Rovers,60,52,2002/03
7,Everton,59,48,2002/03
8,Southampton,52,43,2002/03
9,Manchester City,51,47,2002/03
10,Tottenham Hotspur,50,51,2002/03
11,Middlesbrough,49,48,2002/03
12,Charlton Athletic,49,45,2002/03
13,Birmingham City,48,41,2002/03
14,Fulham,48,41,2002/03
15,Leeds United,47,58,2002/03
16,Aston Villa,45,42,2002/03
17,Bolton Wanderers,44,41,2002/03
18,West Ham United,42,42,2002/03
19,West Bromwich Albion,26,29,2002/03
20,Sunderland,19,21,2002/03
