Position,Club Name,Points,Goals For,Season
1,Manchester United,89,86,2012/13
2,Manchester City,78,66,2012/13
3,Chelsea,75,75,2012/13
4,Arsenal,73,72,2012/13
5,Tottenham Hotspur,72,66,2012/13
6,Everton,63,55,2012/13
7,Liverpool,61,71,2012/13
8,West Bromwich Albion,49,53,2012/13
9,Swansea City,46,47,2012/13
10,West Ham United,46,45,2012/13
11,Norwich City,44,41,2012/13
12,Fulham,43,50,2012/13
13,Stoke City,42,34,2012/13
14,Southampton,41,49,2012/13
15,Aston Villa,41,47,2012/13
16,Newcastle United,41,45,2012/13
17,Sunderland,39,41,2012/13
18,Wigan Athletic,36,47,2012/13
19,Reading,28,43,2012/13
20,Queens Park Rangers,25,30,2012/13
