Position,Club Name,Points,Goals For,Season
1,Manchester United,91,97,1999/00
2,Arsenal,73,73,1999/00
3,Leeds United,69,58,1999/00
4,Liverpool,67,51,1999/00
5,Chelsea,65,53,1999/00
6,Aston Villa,58,46,1999/00
7,Sunderland,58,57,1999/00
8,Leicester City,55,55,1999/00
9,West Ham United,55,52,1999/00
10,Tottenham Hotspur,53,57,1999/00
11,Newcastle United,52,63,1999/00
12,Middlesbrough,52,46,1999/00
13,Everton,50,59,1999/00
14,Coventry City,44,47,1999/00
15,Southampton,44,45,1999/00
16,Derby County,38,44,1999/00
17,Bradford City,36,38,1999/00
18,Wimbledon,33,46,1999/00
19,Sheffield Wednesday,31,38,1999/00
20,Watford,24,35,1999/00
