Position,Club Name,Points,Goals For,Season
1,Manchester United,82,73,1995/96
2,Newcastle United,78,66,1995/96
3,Liverpool,71,70,1995/96
4,Aston Villa,63,52,1995/96
5,Arsenal,63,49,1995/96
6,Everton,61,64,1995/96
7,Blackburn Rovers,61,61,1995/96
8,Tottenham Hotspur,61,50,1995/96
9,Nottingham Forest,58,50,1995/96
10,West Ham United,51,43,1995/96
11,Chelsea,50,46,1995/96
12,Middlesbrough,43,35,1995/96
13,Leeds United,43,40,1995/96
14,Wimbledon,41,55,1995/96
15,Sheffield Wednesday,40,48,1995/96
16,Coventry City,38,42,1995/96
17,Southampton,38,34,1995/96
18,Manchester City,38,33,1995/96
19,Queens Park Rangers,33,38,1995/96
20,Bolton Wanderers,29,39,1995/96
