Position,Club Name,Points,Goals For,Season
1,Chelsea,91,72,2005/06
2,Manchester United,83,72,2005/06
3,Liverpool,82,57,2005/06
4,Arsenal,67,68,2005/06
5,Tottenham Hotspur,65,53,2005/06
6,Blackburn Rovers,63,51,2005/06
7,Newcastle United,58,47,2005/06
8,Bolton Wanderers,56,49,2005/06
9,West Ham United,55,52,2005/06
10,Wigan Athletic,51,45,2005/06
11,Everton,50,34,2005/06
12,Fulham,48,48,2005/06
13,Charlton Athletic,47,41,2005/06
14,Middlesbrough,45,48,2005/06
15,Manchester City,43,43,2005/06
16,Aston Villa,42,42,2005/06
17,Portsmouth,38,37,2005/06
18,Birmingham City,34,28,2005/06
19,West Bromwich Albion,30,31,2005/06
20,Sunderland,15,26,2005/06
