Position,Club Name,Points,Goals For,Season
1,Manchester United,90,68,2008/09
2,Liverpool,86,77,2008/09
3,Chelsea,83,68,2008/09
4,Arsenal,72,68,2008/09
5,Everton,63,55,2008/09
6,Aston Villa,62,54,2008/09
7,Fulham,53,39,2008/09
8,Tottenham Hotspur,51,45,2008/09
9,West Ham United,51,42,2008/09
10,Manchester City,50,58,2008/09
11,Wigan Athletic,45,34,2008/09
12,Stoke City,45,38,2008/09
13,Bolton Wanderers,41,41,2008/09
14,Portsmouth,41,38,2008/09
15,Blackburn Rovers,41,40,2008/09
16,Sunderland,36,34,2008/09
17,Hull City,35,39,2008/09
18,Newcastle United,34,40,2008/09
19,Middlesbrough,32,28,2008/09
20,West Bromwich Albion,32,36,2008/09
