Position,Club Name,Points,Goals For,Season
1,Chelsea,95,72,2004/05
2,Arsenal,83,87,2004/05
3,Manchester United,77,58,2004/05
4,Everton,61,45,2004/05
5,Liverpool,58,52,2004/05
6,Bolton Wanderers,58,49,2004/05
7,Middlesbrough,55,53,2004/05
8,Manchester City,52,47,2004/05
9,Tottenham Hotspur,52,47,2004/05
10,Aston Villa,47,45,2004/05
11,Charlton Athletic,46,42,2004/05
12,Birmingham City,45,40,2004/05
13,Fulham,44,52,2004/05
14,Newcastle United,44,47,2004/05
15,Blackburn Rovers,42,32,2004/05
16,Portsmouth,39,43,2004/05
17,West Bromwich Albion,34,36,2004/05
18,Crystal Palace,33,41,2004/05
19,Norwich City,33,42,2004/05
20,Southampton,32,45,2004/05
