Position,Club Name,Points,Goals For,Season
1,Chelsea,87,73,2014/15
2,Manchester City,79,83,2014/15
3,Arsenal,75,71,2014/15
4,Manchester United,70,62,2014/15
5,Tottenham Hotspur,64,58,2014/15
6,Liverpool,62,52,2014/15
7,Southampton,60,54,2014/15
8,Swansea City,56,46,2014/15
9,Stoke City,54,48,2014/15
10,Crystal Palace,48,47,2014/15
11,Everton,47,48,2014/15
12,West Ham United,47,44,2014/15
13,West Bromwich Albion,44,38,2014/15
14,Leicester City,41,46,2014/15
15,Newcastle United,39,40,2014/15
16,Sunderland,38,31,2014/15
17,Aston Villa,38,31,2014/15
18,Hull City,35,33,2014/15
19,Burnley,33,28,2014/15
20,Queens Park Rangers,30,42,2014/15
