Position,Club Name,Points,Goals For,Season
1,Manchester City,93,99,2021/22
2,Liverpool,92,94,2021/22
3,Chelsea,74,76,2021/22
4,Tottenham Hotspur,71,69,2021/22
5,Arsenal,69,61,2021/22
6,Manchester United,58,57,2021/22
7,West Ham United,56,60,2021/22
8,Leicester City,52,62,2021/22
9,Brighton and Hove Albion,51,42,2021/22
10,Wolverhampton Wanderers,51,38,2021/22
11,Newcastle United,49,44,2021/22
12,Crystal Palace,48,50,2021/22
13,Brentford,46,48,2021/22
14,Aston Villa,45,52,2021/22
15,Southampton,40,43,2021/22
16,Everton,39,43,2021/22
17,Leeds United,38,42,2021/22
18,Burnley,35,34,2021/22
19,Watford,23,34,2021/22
20,Norwich City,22,23,2021/22
