Position,Club Name,Points,Goals For,Season
1,Manchester United,79,80,1998/99
2,Arsenal,78,59,1998/99
3,Chelsea,75,57,1998/99
4,Leeds United,67,62,1998/99
5,West Ham United,57,46,1998/99
6,Aston Villa,55,51,1998/99
7,Liverpool,54,68,1998/99
8,Derby County,52,40,1998/99
9,Middlesbrough,51,48,1998/99
10,Leicester City,49,40,1998/99
11,Tottenham Hotspur,47,47,1998/99
12,Sheffield Wednesday,46,41,1998/99
13,Newcastle United,46,48,1998/99
14,Everton,43,42,1998/99
15,Coventry City,42,39,1998/99
16,Wimbledon,42,40,1998/99
17,Southampton,41,37,1998/99
18,Charlton Athletic,36,41,1998/99
19,Blackburn Rovers,35,38,1998/99
20,Nottingham Forest,30,35,1998/99
