Position,Club Name,Points,Goals For,Season
1,Manchester City,89,93,2011/12
2,Manchester United,89,89,2011/12
3,Arsenal,70,74,2011/12
4,Tottenham Hotspur,69,66,2011/12
5,Newcastle United,65,56,2011/12
6,Chelsea,64,65,2011/12
7,Everton,56,50,2011/12
8,Liverpool,52,47,2011/12
9,Fulham,52,48,2011/12
10,West Bromwich Albion,47,45,2011/12
11,Swansea City,47,44,2011/12
12,Norwich City,47,52,2011/12
13,Sunderland,45,45,2011/12
14,Stoke City,45,36,2011/12
15,Wigan Athletic,43,42,2011/12
16,Aston Villa,38,37,2011/12
17,Queens Park Rangers,37,43,2011/12
18,Bolton Wanderers,36,46,2011/12
19,Blackburn Rovers,31,48,2011/12
20,Wolverhampton Wanderers,25,40,2011/12
