Position,Club Name,Points,Goals For,Season
1,Manchester City,100,106,2017/18
2,Manchester United,81,68,2017/18
3,Tottenham Hotspur,77,74,2017/18
4,Liverpool,75,84,2017/18
5,Chelsea,70,62,2017/18
6,Arsenal,63,74,2017/18
7,Burnley,54,36,2017/18
8,Everton,49,44,2017/18
9,Leicester City,47,56,2017/18
10,Newcastle United,44,39,2017/18
11,Crystal Palace,44,45,2017/18
12,Bournemouth,44,45,2017/18
13,West Ham United,42,48,2017/18
14,Watford,41,44,2017/18
15,Brighton and Hove Albion,40,34,2017/18
16,Huddersfield Town,37,28,2017/18
17,Southampton,36,37,2017/18
18,Swansea City,33,28,2017/18
19,Stoke City,33,35,2017/18
20,West Bromwich Albion,31,31,2017/18
