Position,Club Name,Points,Goals For,Season
1,Arsenal,87,79,2001/02
2,Liverpool,80,67,2001/02
3,Manchester United,77,87,2001/02
4,Newcastle United,71,74,2001/02
5,Leeds United,66,53,2001/02
6,Chelsea,64,66,2001/02
7,West Ham United,53,48,2001/02
8,Aston Villa,50,46,2001/02
9,Tottenham Hotspur,50,49,2001/02
10,Blackburn Rovers,46,55,2001/02
11,Southampton,45,46,2001/02
12,Middlesbrough,45,35,2001/02
13,Fulham,44,36,2001/02
14,Charlton Athletic,44,38,2001/02
15,Everton,43,45,2001/02
16,Bolton Wanderers,40,44,2001/02
17,Sunderland,40,29,2001/02
18,Ipswich Town,36,41,2001/02
19,Derby County,30,33,2001/02
20,Leicester City,28,30,2001/02
