Position,Club Name,Points,Goals For,Season
1,Arsenal,78,68,1997/98
2,Manchester United,77,73,1997/98
3,Liverpool,65,68,1997/98
4,Chelsea,63,71,1997/98
5,Leeds United,59,57,1997/98
6,Blackburn Rovers,58,57,1997/98
7,Aston Villa,57,49,1997/98
8,West Ham United,56,56,1997/98
9,Derby County,55,52,1997/98
10,Leicester City,53,51,1997/98
11,Coventry City,52,46,1997/98
12,Southampton,48,50,1997/98
13,Newcastle United,44,35,1997/98
14,Tottenham Hotspur,44,44,1997/98
15,Wimbledon,44,34,1997/98
16,Sheffield Wednesday,44,52,1997/98
17,Everton,40,41,1997/98
18,Bolton Wanderers,40,41,1997/98
19,Barnsley,35,37,1997/98
20,Crystal Palace,33,37,1997/98
