Position,Club Name,Points,Goals For,Season
1,Manchester City,86,83,2020/21
2,Manchester United,74,73,2020/21
3,Liverpool,69,68,2020/21
4,Chelsea,67,58,2020/21
5,Leicester City,66,68,2020/21
6,West Ham United,65,62,2020/21
7,Tottenham Hotspur,62,68,2020/21
8,Arsenal,61,55,2020/21
9,Leeds United,59,62,2020/21
10,Everton,59,47,2020/21
11,Aston Villa,55,55,2020/21
12,Newcastle United,45,46,2020/21
13,Wolverhampton Wanderers,45,36,2020/21
14,Crystal Palace,44,41,2020/21
15,Southampton,43,47,2020/21
16,Brighton and Hove Albion,41,40,2020/21
17,Burnley,39,33,2020/21
18,Fulham,28,27,2020/21
19,West Bromwich Albion,26,35,2020/21
20,Sheffield United,23,20,2020/21
