Position,Club Name,Points,Goals For,Season
1,Blackburn Rovers,89,80,1994/95
2,Manchester United,88,77,1994/95
3,Nottingham Forest,77,72,1994/95
4,Liverpool,74,65,1994/95
5,Leeds United,73,59,1994/95
6,Newcastle United,72,67,1994/95
7,Tottenham Hotspur,62,66,1994/95
8,Queens Park Rangers,60,61,1994/95
9,Wimbledon,56,48,1994/95
10,Southampton,54,61,1994/95
11,Chelsea,54,50,1994/95
12,Arsenal,51,52,1994/95
13,Sheffield Wednesday,51,49,1994/95
14,West Ham United,50,44,1994/95
15,Everton,50,44,1994/95
16,Coventry City,50,44,1994/95
17,Manchester City,49,53,1994/95
18,Aston Villa,48,51,1994/95
19,Crystal Palace,45,34,1994/95
20,Norwich City,43,37,1994/95
21,Leicester City,29,45,1994/95
22,Ipswich Town,27,36,1994/95
