Position,Club Name,Points,Goals For,Season
1,Manchester City,86,102,2013/14
2,Liverpool,84,101,2013/14
3,Chelsea,82,71,2013/14
4,Arsenal,79,68,2013/14
5,Everton,72,61,2013/14
6,Tottenham Hotspur,69,55,2013/14
7,Manchester United,64,64,2013/14
8,Southampton,56,54,2013/14
9,Stoke City,50,45,2013/14
10,Newcastle United,49,43,2013/14
11,Crystal Palace,45,33,2013/14
12,Swansea City,42,54,2013/14
13,West Ham United,40,40,2013/14
14,Sunderland,38,41,2013/14
15,Aston Villa,38,39,2013/14
16,Hull City,37,38,2013/14
17,West Bromwich Albion,36,43,2013/14
18,Norwich City,33,28,2013/14
19,Fulham,32,40,2013/14
20,Cardiff City,30,32,2013/14
